,Function,Taylor Expression
356,3*x**2 + 2*sqrt(x**2 + 1),-x**4/4 + 4*x**2 + 2
357,1.5*log(x + 1)*cos(x),x*(-0.25*x**2 - 0.75*x + 1.5)
358,-3*sqrt(x**2 + 1)*cos(x),x**4 - 3
359,-3*x**3 + 3*exp(x),x**4/8 - 5*x**3/2 + 3*x**2/2 + 3*x + 3
360,0.5*exp(2*x),0.333333333333333*x**4 + 0.666666666666667*x**3 + 1.0*x**2 + 1.0*x + 0.5
361,cos(0.5*sqrt(x**2 + 1) + 0.5*cos(x)),0.0350612910336624*x**4 + 0.54030230586814
362,-0.25*sqrt(x**2 + 1)*exp(x),-0.0416666666666667*x**4 - 0.166666666666667*x**3 - 0.25*x**2 - 0.25*x - 0.25
363,exp(2*exp(x)*cos(x)),(-x**4 + 2*x**3/3 + 2*x**2 + 2*x + 1)*exp(2)
364,-0.5*sin(x) - 0.5*cos(x),-0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 - 0.5*x - 0.5
365,x**3 + 3*exp(x),x**4/8 + 3*x**3/2 + 3*x**2/2 + 3*x + 3
366,exp(2*exp(x)),(47*x**4 + 44*x**3 + 36*x**2 + 24*x + 12)*exp(2)/12
367,log(4*x**6 - 12*x**3*sqrt(x**2 + 1) + 9*x**2 + 10),-81*x**4/200 - 6*x**3/5 + 9*x**2/10 + log(10)
368,log(0.25*log(x + 1)**2 + 1),x**2*(0.197916666666667*x**2 - 0.25*x + 0.25)
369,0.5*x**2 - cos(x),-x**4/24 + 1.0*x**2 - 1
370,0.5*sqrt(x**2 + 1)*exp(x),0.0833333333333333*x**4 + 0.333333333333333*x**3 + 0.5*x**2 + 0.5*x + 0.5
371,3*x**2 + sqrt(x**2 + 1),-x**4/8 + 7*x**2/2 + 1
372,exp(-5*x),625*x**4/24 - 125*x**3/6 + 25*x**2/2 - 5*x + 1
373,-sin(0.5*x**2),-0.5*x**2
374,cos(0.5*exp(x)),-0.0567110078557897*x**4 - 0.139661916399059*x**3 - 0.229554204887347*x**2 - 0.239712769302102*x + 0.877582561890373
375,x**4,x**4
376,x**3*exp(x),x**3*(x + 1)
377,-3*x**3,-3*x**3
378,2*exp(x) - cos(x),x**4/24 + x**3/3 + 3*x**2/2 + 2*x + 1
379,2*log(x + 1)**2,x**2*(11*x**2 - 12*x + 12)/6
380,-3*x**3 - 0.5*cos(x),-0.0208333333333333*x**4 - 3*x**3 + 0.25*x**2 - 0.5
381,exp(-2*x**3),1 - 2*x**3
382,cos(2*x**2),1 - 2*x**4
383,x - 3*cos(x),-x**4/8 + 3*x**2/2 + x - 3
384,sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
385,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
386,3*x**3,3*x**3
387,cos(0.25*exp(x)*cos(x)),0.030651874344048*x**4 + 0.0212612777484356*x**3 - 0.0302785131784576*x**2 - 0.0618509898136307*x + 0.968912421710645
388,cos(2*x**2),1 - 2*x**4
389,-x**3 + log(x + 1),x*(-3*x**3 - 8*x**2 - 6*x + 12)/12
390,2*sin(x),x*(6 - x**2)/3
391,-1.0*x**4,-1.0*x**4
392,sin(1.0*x*sqrt(x**2 + 1)),x*(0.333333333333333*x**2 + 1.0)
393,log(0.0625*x**4*exp(2*x) + 1),0.0625*x**4
394,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
395,exp(-2*exp(x)),(-x**4/4 + x**3/3 + x**2 - 2*x + 1)*exp(-2)
396,sin(3*x**2*sqrt(x**2 + 1)),3*x**2*(x**2 + 2)/2
397,-2*cos(x),-x**4/12 + x**2 - 2
398,-2*x,-2*x
399,cos(3*x*cos(x)),63*x**4/8 - 9*x**2/2 + 1
400,-sin(x),x**3/6 - x
401,1.5*exp(x)*sin(x),x*(0.5*x**2 + 1.5*x + 1.5)
402,-9*x**3*sin(x),-9*x**4
403,1.5*x*log(x + 1),x**2*(0.5*x**2 - 0.75*x + 1.5)
404,2*sin(x),x*(6 - x**2)/3
405,2*exp(x) + 0.5*log(x + 1),-0.0416666666666667*x**4 + 0.5*x**3 + 0.75*x**2 + 2.5*x + 2
406,2*cos(x),x**4/12 - x**2 + 2
407,cos(x),x**4/24 - x**2/2 + 1
408,-2*sin(x),x*(x**2 - 6)/3
409,-5*sqrt(x**2 + 1),5*x**4/8 - 5*x**2/2 - 5
410,-0.5*exp(x)*log(x + 1),x*(2.77555756156289e-17*x**3 - 0.166666666666667*x**2 - 0.25*x - 0.5)
411,-exp(x) - 3*cos(x),-x**4/6 - x**3/6 + x**2 - x - 4
412,1.0*exp(2*x)*sin(x)**2,x**2*(1.66666666666667*x**2 + 2.0*x + 1.0)
413,-1.5*sqrt(x**2 + 1)*exp(x),-0.25*x**4 - 1.0*x**3 - 1.5*x**2 - 1.5*x - 1.5
414,-x,-x
415,4*x**3*log(x + 1),4*x**4
416,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
417,0.5*log(x + 1) + sin(x),x*(-0.125*x**3 - 0.25*x + 1.5)
418,4*x*cos(x),2*x*(2 - x**2)
419,exp(2*exp(x)),(47*x**4 + 44*x**3 + 36*x**2 + 24*x + 12)*exp(2)/12
420,log(x**6 + 6*x**3*cos(x) + 9*cos(x)**2 + 1),-21*x**4/200 + 3*x**3/5 - 9*x**2/10 + log(10)
421,0.5*x**2,0.5*x**2
422,-x**3,-x**3
423,1.5*log(x + 1)*cos(x),x*(-0.25*x**2 - 0.75*x + 1.5)
424,x**3,x**3
425,exp(0.25*sin(x)**2),-0.0520833333333333*x**4 + 0.25*x**2 + 1
426,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
427,-x,-x
428,exp(0.5*x*sin(x)),0.0416666666666667*x**4 + 0.5*x**2 + 1
429,-2*x + 3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 - 2*x + 3
430,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
431,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
432,-0.5*x**2*sin(x),-0.5*x**3
433,0.5*x**3,0.5*x**3
434,2*x**3 + 3*x**2,x**2*(2*x + 3)
435,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
436,cos(1.5*cos(x)**2),-0.578326845178193*x**4 + 1.49624247990608*x**2 + 0.0707372016677029
437,0.5*x**3 - 2*log(x + 1),x*(x**3 - 0.333333333333333*x**2 + 2*x - 4)/2
438,-1.5*log(x + 1)*sin(x),x**2*(-0.25*x**2 + 0.75*x - 1.5)
439,1.5*x*log(x + 1),x**2*(0.5*x**2 - 0.75*x + 1.5)
440,-sin(2*x**3 + exp(x)),x**4*(5*cos(1) + 54*sin(1))/24 + x**3*(-4*cos(1) + sin(1))/2 - sqrt(2)*x**2*cos(pi/4 + 1)/2 - x*cos(1) - sin(1)
441,cos(sqrt(x**2 + 1)),-sqrt(2)*x**4*cos(pi/4 + 1)/8 - x**2*sin(1)/2 + cos(1)
442,9*x**6 - 3.0*x**3*sin(x) + 0.25*sin(x)**2,x**2*(0.25 - 3.08333333333333*x**2)
443,1/(x**2 + 2*x + 1),5*x**4 - 4*x**3 + 3*x**2 - 2*x + 1
444,cos(1.5*x*log(x + 1)),1 - 1.125*x**4
445,exp(-0.5*sqrt(x**2 + 1)),(0.09375*x**4 - 0.25*x**2 + 1)*exp(-1/2)
446,3*cos(x),x**4/8 - 3*x**2/2 + 3
447,2*x**3,2*x**3
448,cos(x),x**4/24 - x**2/2 + 1
449,sin(x**3*log(x + 1)),x**4
450,log(4*exp(2*x) + 4*exp(x)*sin(x) + sin(x)**2 + 1),2131*x**4/3750 - 112*x**3/375 - 7*x**2/25 + 12*x/5 + log(5)
451,-2*x,-2*x
452,-0.5*x**3,-0.5*x**3
453,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
454,2*cos(x),x**4/12 - x**2 + 2
455,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
456,-x**3,-x**3
457,-sin(2*exp(x)),x**4*(23*cos(2) + 6*sin(2))/12 + x**3*(cos(2) + 2*sin(2)) + x**2*(-cos(2) + 2*sin(2)) - 2*x*cos(2) - sin(2)
458,sin(0.5*x - log(x + 1)),x*(0.375*x**3 - 0.625*x**2 + x - 1.0)/2
459,exp(2*x)*sin(x)**2,x**2*(5*x**2 + 6*x + 3)/3
460,cos(2*exp(x)),x**4*(-6*cos(2) + 23*sin(2))/12 + x**3*(-2*cos(2) + sin(2)) - x**2*(2*cos(2) + sin(2)) - 2*x*sin(2) + cos(2)
461,cos(1.5*log(x + 1)),-0.8203125*x**4 + 1.125*x**3 - 1.125*x**2 + 1
462,-4*x*exp(x),2*x*(-x**3 - 3*x**2 - 6*x - 6)/3
463,-sin(0.25*x**4),-0.25*x**4
464,3*x**3 - 0.5*x**2,x**2*(3*x - 0.5)
465,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
466,0.5*x**2*log(x + 1),x**3*(0.5 - 0.25*x)
467,-6*log(x + 1)**2,x**2*(-11*x**2 + 12*x - 12)/2
468,-1.0*sqrt(x**2 + 1)*cos(x),0.333333333333333*x**4 - 1.0
469,-6*x**2*exp(x),3*x**2*(-x**2 - 2*x - 2)
470,-1.0*x*cos(x),x*(0.5*x**2 - 1.0)
471,-3*x**2,-3*x**2
472,exp(9*log(x + 1)**2),195*x**4/4 - 9*x**3 + 9*x**2 + 1
473,-2*x**2,-2*x**2
474,x**2*exp(-0.5*x**2) + 2*x*exp(-0.5*x**2) + exp(-0.5*x**2),-0.375*x**4 - 1.0*x**3 + 0.5*x**2 + 2*x + 1
475,-x**2 + 2*sin(x),x*(-x**2 - 3*x + 6)/3
476,3*x**3 + 3*cos(x),x**4/8 + 3*x**3 - 3*x**2/2 + 3
477,0.5*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1.5*x + 1
478,-2*sin(x),x*(x**2 - 6)/3
479,-3*sin(x),x*(x**2 - 6)/2
480,-0.5*x**3,-0.5*x**3
481,exp(2*cos(x)),(7*x**4/12 - x**2 + 1)*exp(2)
482,cos(0.5*x),0.00260416666666667*x**4 - 0.125*x**2 + 1
483,-0.5*x**3 - 0.5*cos(x),-0.0208333333333333*x**4 - 0.5*x**3 + 0.25*x**2 - 0.5
484,cos(sin(x)*cos(x)),17*x**4/24 - x**2/2 + 1
485,-6*x**2*sin(x),-6*x**3
486,-2*x*exp(x),x*(-x**3 - 3*x**2 - 6*x - 6)/3
487,9*x**2 - 18*x*exp(x) + 9*exp(2*x),3*x**4 + 3*x**3 + 9*x**2 + 9
488,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
489,exp(-2*x**3),1 - 2*x**3
490,-sin(0.5*x),x*(0.0208333333333333*x**2 - 0.5)
491,-3*sin(x),x*(x**2 - 6)/2
492,3*cos(x),x**4/8 - 3*x**2/2 + 3
493,log(4*log(x + 1)**2 + 1),x**2*(-13*x**2 - 12*x + 12)/3
494,-x**3 + 2*x,x*(2 - x**2)
495,log(0.25*sin(x)**2 + 1),x**2*(0.25 - 0.114583333333333*x**2)
496,-2*sin(x),x*(x**2 - 6)/3
497,log(2.25*sin(x)**2*cos(x)**2 + 1),x**2*(2.25 - 5.53125*x**2)
498,x + 0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + x + 0.5
499,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
500,-0.5*x**2,-0.5*x**2
501,4*x**2 + 2.0*sqrt(x**2 + 1)*log(x + 1) + 0.25*log(x + 1)**2 + 4,-0.770833333333333*x**4 + 1.41666666666667*x**3 + 3.25*x**2 + 2.0*x + 4
502,0.25*x**4 + 2.0*x**2*sqrt(x**2 + 1) + 4*x**2 + 4,1.25*x**4 + 6.0*x**2 + 4
503,log(9*x**6 + 6*x**3*exp(x) + exp(2*x) + 1),-x**4/12 + 3*x**3 + x**2/2 + x + log(2)
504,log(exp(2*x)*cos(x)**2 + 1),-x**4/24 - x**3/2 + x + log(2)
505,exp(0.5*sin(x)),-0.0390625*x**4 - 0.0625*x**3 + 0.125*x**2 + 0.5*x + 1
506,1.5*x**2*log(x + 1),x**3*(1.5 - 0.75*x)
507,0.5*exp(x) + 3*log(x + 1),-0.729166666666667*x**4 + 1.08333333333333*x**3 - 1.25*x**2 + 3.5*x + 0.5
508,cos(0.5*x**2 - sqrt(x**2 + 1)),0.105183873100987*x**4 + 0.54030230586814
509,-0.25*x*cos(x),x*(0.125*x**2 - 0.25)
510,-3*x,-3*x
511,-x,-x
512,-2*x,-2*x
513,0.25*exp(2*x)*log(x + 1)**2,x**2*(0.229166666666667*x**2 + 0.25*x + 0.25)
514,exp(3*sqrt(x**2 + 1))/(x + 1),(13*x**4 - 10*x**3 + 10*x**2 - 4*x + 4)*exp(3)/4
515,-4*x*sin(x),2*x**2*(x**2 - 6)/3
516,1.0*x*sqrt(x**2 + 1),x*(0.5*x**2 + 1.0)
517,0.25*x**2*sqrt(x**2 + 1),x**2*(0.125*x**2 + 0.25)
518,sin(0.5*x**2),0.5*x**2
519,4*cos(x)**2,4*x**4/3 - 4*x**2 + 4
520,-0.5*x**2 - 3*sin(x),x*(x**2 - 1.0*x - 6)/2
521,cos(0.5*x**2 + 3*sin(x)),4.75*x**4 - 1.5*x**3 - 4.5*x**2 + 1
522,-3*x**3 + sqrt(x**2 + 1),-x**4/8 - 3*x**3 + x**2/2 + 1
523,-x**3*sin(x),-x**4
524,log(25*x**4 + 1),25*x**4
525,x,x
526,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
527,-4*x**2*cos(x),2*x**2*(x**2 - 2)
528,3*sin(x),x*(6 - x**2)/2
529,-x**3,-x**3
530,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
531,log(log(x + 1)**2*sin(x)**2 + 1),x**4
532,sin(x),-x**3/6 + x
533,3*x*exp(x),x*(x**3 + 3*x**2 + 6*x + 6)/2
534,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
535,2*x**3 + 2*x**2,2*x**2*(x + 1)
536,-2*sqrt(x**2 + 1),x**4/4 - x**2 - 2
537,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
538,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
539,-1.5*x*log(x + 1),x**2*(-0.5*x**2 + 0.75*x - 1.5)
540,-4*x**2,-4*x**2
541,3*log(x + 1) - sin(x),x*(-9*x**3 + 14*x**2 - 18*x + 24)/12
542,-2*x**2,-2*x**2
543,log(9*exp(2*x) + 18*exp(x)*cos(x) + 9*cos(x)**2 + 1),-71133*x**4/3748322 + 11778*x**3/50653 - 315*x**2/1369 + 36*x/37 + log(37)
544,cos(2*log(x + 1)),-7*x**4/6 + 2*x**3 - 2*x**2 + 1
545,-sqrt(x**2 + 1) + sin(x),x**4/8 - x**3/6 - x**2/2 + x - 1
546,exp(-0.5*exp(x))*exp(-0.5*sin(x)),(-0.0729166666666667*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 - 1.0*x + 1)*exp(-1/2)
547,log(4*x**2 + 1),x**2*(4 - 8*x**2)
548,-3*sqrt(x**2 + 1) - sin(x),3*x**4/8 + x**3/6 - 3*x**2/2 - x - 3
549,4*sqrt(x**2 + 1)*log(x + 1),2*x*(-3*x**3 + 5*x**2 - 3*x + 6)/3
550,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
551,0.25*x**2 + 0.25,0.25*x**2 + 0.25
552,-sin(3*log(x + 1)),x*(-12*x**3 + 7*x**2 + 3*x - 6)/2
553,log(0.25*x**2 + 1),x**2*(0.25 - 0.03125*x**2)
554,log(2.25*x**2*exp(2*x) + 2.25*exp(2*x) + 1),-0.442999194706068*x**4 + 0.316795630405098*x**3 + 1.11834319526627*x**2 + 1.38461538461538*x + 1.17865499634165
555,-3*log(x + 1) + 0.5*cos(x),0.770833333333333*x**4 - x**3 + 1.25*x**2 - 3*x + 0.5
556,0.5*x,0.5*x
557,-0.5*x - cos(x),-x**4/24 + x**2/2 - 0.5*x - 1
558,2*x**2,2*x**2
559,-2*x**3,-2*x**3
560,x**2 + 3*sin(x),x*(-x**2 + 2*x + 6)/2
561,log(0.0625*x**4*cos(x)**2 + 1),0.0625*x**4
562,exp(-0.5*exp(x)*cos(x)),(0.00260416666666667*x**4 + 0.145833333333333*x**3 + 0.125*x**2 - 0.5*x + 1)*exp(-1/2)
563,exp(-x**2),x**4/2 - x**2 + 1
564,0.5*exp(x) - 3*cos(x),-0.104166666666667*x**4 + 0.0833333333333333*x**3 + 1.75*x**2 + 0.5*x - 2.5
565,-x**3 - 2*sqrt(x**2 + 1),x**4/4 - x**3 - x**2 - 2
566,-1.0*x**2*sin(x),-1.0*x**3
567,-2.5*x**3,-2.5*x**3
568,exp(x**3),x**3 + 1
569,2*x**2 - 3*log(x + 1),x*(3*x**3 - 4*x**2 + 14*x - 12)/4
570,-2*x - 3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 2*x - 3
571,-4*x**3*sin(x),-4*x**4
572,0.25*sin(x)**2,x**2*(0.25 - 0.0833333333333333*x**2)
573,2*x,2*x
574,log(x**2 - 2*x*exp(x) + exp(2*x) + 1),x**4/24 + x**3/6 + x**2/2 + log(2)
575,cos(1.5*x**2*cos(x)),1 - 1.125*x**4
576,4*cos(x)**2,4*x**4/3 - 4*x**2 + 4
577,sin(x) + 0.5*cos(x),0.0208333333333333*x**4 - x**3/6 - 0.25*x**2 + x + 0.5
578,log(0.25*x**2 + 3.0*x*log(x + 1) + 9*log(x + 1)**2 + 1),x**2*(-65.78125*x**2 - 10.5*x + 12.25)
579,-0.25*x*sin(x),x**2*(0.0416666666666667*x**2 - 0.25)
580,-2*x**2*exp(x),x**2*(-x**2 - 2*x - 2)
581,log(9*log(x + 1)**2 + 1),x**2*(-129*x**2/4 - 9*x + 9)
582,-x,-x
583,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
584,-log(x + 1)**2,x**2*(-11*x**2/12 + x - 1)
585,cos(0.5*sqrt(x**2 + 1)),0.00253964110368854*x**4 - 0.119856384651051*x**2 + 0.877582561890373
586,log(9*x**6 + 18*x**4 + 9*x**2 + 1),x**2*(9 - 45*x**2/2)
587,exp(-9*x**2*sqrt(x**2 + 1)),36*x**4 - 9*x**2 + 1
588,log(0.0625*log(x + 1)**2*sin(x)**2 + 1),0.0625*x**4
589,-2*x,-2*x
590,exp(-0.5*sqrt(x**2 + 1)),(0.09375*x**4 - 0.25*x**2 + 1)*exp(-1/2)
591,3*sin(x),x*(6 - x**2)/2
592,-3*x**2*exp(x),3*x**2*(-x**2 - 2*x - 2)/2
593,1.0*exp(x)*cos(x),-0.166666666666667*x**4 - 0.333333333333333*x**3 + 1.0*x + 1.0
594,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
595,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
596,cos(2*sin(x)),4*x**4/3 - 2*x**2 + 1
597,-0.5*x*sqrt(x**2 + 1),x*(-0.25*x**2 - 0.5)
598,-x**2 - 3*sin(x),x*(x**2 - 2*x - 6)/2
599,log(x + 1)**2,x**2*(11*x**2/12 - x + 1)
600,-3*sqrt(x**2 + 1) + 2*exp(x),11*x**4/24 + x**3/3 - x**2/2 + 2*x - 1
601,3*x**3 + 0.5*sin(x),x*(2.91666666666667*x**2 + 0.5)
602,log(x**2 + 1),-x**4/2 + x**2
603,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
604,-sin(2*x**3),-2*x**3
605,9*x**4 + 9*x**2,9*x**2*(x**2 + 1)
606,cos(0.5*x**2),1 - 0.125*x**4
607,-x,-x
608,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
609,3*sqrt(x**2 + 1) + 2*sin(x),-3*x**4/8 - x**3/3 + 3*x**2/2 + 2*x + 3
610,sqrt(x**2 + 1) - 0.5*log(x + 1),-0.166666666666667*x**3 + 0.75*x**2 - 0.5*x + 1
611,-0.25*x**2*exp(x),x**2*(-0.125*x**2 - 0.25*x - 0.25)
612,-1.0*log(x + 1)*sin(x),x**2*(-0.166666666666667*x**2 + 0.5*x - 1.0)
613,6*sin(x)*cos(x),-4*x**3 + 6*x
614,2*x**2,2*x**2
615,-sin(2*exp(x) + 0.5*cos(x)),-0.949942672838357*x**4 + 0.0965646006090009*x**3 + 1.79780199986811*x**2 + 1.60228723109387*x - 0.598472144103956
616,-sin(0.5*sqrt(x**2 + 1) + 3*sin(x)),-1.28008816036929*x**4 + 4.74748196340502*x**3 + 1.93801928324632*x**2 - 2.63274768567112*x - 0.479425538604203
617,6*x*log(x + 1),x**2*(2*x**2 - 3*x + 6)
618,sin(x),-x**3/6 + x
619,-3*x + 2*sqrt(x**2 + 1),-x**4/4 + x**2 - 3*x + 2
620,cos(x),x**4/24 - x**2/2 + 1
621,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
622,3*x**2*sqrt(x**2 + 1),3*x**2*(x**2 + 2)/2
623,3*sin(x),x*(6 - x**2)/2
624,exp(-x)*exp(exp(x)),E*(x**4 + x**3 + 3*x**2 + 6)/6
625,-3*x**2 + 2*x,x*(2 - 3*x)
626,3*cos(x),x**4/8 - 3*x**2/2 + 3
627,0.25*x**2*sqrt(x**2 + 1),x**2*(0.125*x**2 + 0.25)
628,log(x**6 + 1.0*x**3*sin(x) + 0.25*sin(x)**2 + 1),x**2*(0.885416666666667*x**2 + 0.25)
629,cos(exp(x)),x**4*(-6*cos(1) + 5*sin(1))/24 - x**3*cos(1)/2 - sqrt(2)*x**2*sin(pi/4 + 1)/2 - x*sin(1) + cos(1)
630,-sqrt(x**2 + 1) + exp(x),x*(x**3 + x**2 + 6)/6
631,-3*x**3 + 2*sin(x),-10*x**3/3 + 2*x
632,4*x**2,4*x**2
633,0.25*x**4,0.25*x**4
634,exp(-0.5*cos(x)),(0.0104166666666667*x**4 + 0.25*x**2 + 1)*exp(-1/2)
635,exp(2*x)*exp(x**2),19*x**4/6 + 10*x**3/3 + 3*x**2 + 2*x + 1
636,-sin(sqrt(x**2 + 1)),sqrt(2)*x**4*sin(pi/4 + 1)/8 - x**2*cos(1)/2 - sin(1)
637,0.5*x**2 + 2*cos(x),x**4/12 - 0.5*x**2 + 2
638,exp(2*exp(x)),(47*x**4 + 44*x**3 + 36*x**2 + 24*x + 12)*exp(2)/12
639,-0.25*x*sqrt(x**2 + 1),x*(-0.125*x**2 - 0.25)
640,exp(-0.5*x**3*log(x + 1)),1 - 0.5*x**4
641,-3*x**3 + 2*x**2,x**2*(2 - 3*x)
642,-3*exp(x) - 2*cos(x),-5*x**4/24 - x**3/2 - x**2/2 - 3*x - 5
643,0.25*exp(x)*cos(x),-0.0416666666666667*x**4 - 0.0833333333333333*x**3 + 0.25*x + 0.25
644,-sin(x),x**3/6 - x
645,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
646,exp(-3*x**2)*exp(cos(x)),E*(37*x**4 - 21*x**2 + 6)/6
647,-4*x**3*exp(x),4*x**3*(-x - 1)
648,log(cos(x)**2 + 1),x**4/24 - x**2/2 + log(2)
649,-0.5*x,-0.5*x
650,-sin(4*log(x + 1)),x*(-45*x**3 + 28*x**2 + 6*x - 12)/3
651,x**3,x**3
652,0.5*x**3 - 3*log(x + 1),x*(0.75*x**3 - 0.5*x**2 + 1.5*x - 3.0)
653,-2*x**3,-2*x**3
654,log(0.25*log(x + 1)**2 + 3.0*log(x + 1)*cos(x) + 9*cos(x)**2 + 1),-0.274170833333333*x**4 + 0.2415*x**3 - 1.07*x**2 + 0.3*x + log(10)
655,sin(x**3*log(x + 1)),x**4
656,-0.5*x**3,-0.5*x**3
657,exp(-3*cos(x)),(x**4 + 3*x**2/2 + 1)*exp(-3)
658,cos(3*exp(x) - 0.5*log(x + 1)),1.46607388721328*x**4 + 4.65167719092956*x**3 + 2.84676653777162*x**2 - 0.352800020149668*x - 0.989992496600445
659,-sin(x),x**3/6 - x
660,log(x + 1)**2,x**2*(11*x**2/12 - x + 1)
661,sin(sqrt(x**2 + 1)*cos(x)),-x**4*cos(1)/3 + sin(1)
662,-sin(0.5*sin(x)),x*(0.104166666666667*x**2 - 0.5)
663,2.25*exp(2*x)*log(x + 1)**2,x**2*(2.0625*x**2 + 2.25*x + 2.25)
664,9*x**2 + 9,9*x**2 + 9
665,-x**3 - 0.5*x**2,x**2*(-x - 0.5)
666,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
667,exp(3*x**3),3*x**3 + 1
668,x + 3*sin(x),x*(8 - x**2)/2
669,1.5*x**2*cos(x),x**2*(1.5 - 0.75*x**2)
670,exp(-3*sqrt(x**2 + 1)),(3*x**4 - 3*x**2 + 2)*exp(-3)/2
671,0.5*log(x + 1),x*(-0.125*x**3 + 0.166666666666667*x**2 - 0.25*x + 0.5)
672,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
673,6*exp(x)*log(x + 1),x*(2*x**2 + 3*x + 6)
674,6*x*sqrt(x**2 + 1),3*x*(x**2 + 2)
675,-2*x*cos(x),x*(x**2 - 2)
676,2*sqrt(x**2 + 1) + log(x + 1),-x**4/2 + x**3/3 + x**2/2 + x + 2
677,-1.0*sin(x)*cos(x),x*(0.666666666666667*x**2 - 1.0)
678,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
679,cos(x),x**4/24 - x**2/2 + 1
680,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
681,sin(x),-x**3/6 + x
682,cos(2*x),2*x**4/3 - 2*x**2 + 1
683,-sin(x**2*exp(x)),-x**2*(x**2/2 + x + 1)
684,exp(3*sqrt(x**2 + 1))*exp(-2*exp(x)),E*(12*x**4 - 16*x**3 + 15*x**2 - 12*x + 6)/6
685,2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
686,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
687,log(0.25*x**4 + 0.25*x**2 + 1),x**2*(0.21875*x**2 + 0.25)
688,9*exp(2*x)*cos(x)**2,-9*x**4 - 6*x**3 + 9*x**2 + 18*x + 9
689,-log(x + 1)*cos(x),x*(x**2 + 3*x - 6)/6
690,cos(3*sin(x)),39*x**4/8 - 9*x**2/2 + 1
691,cos(2*x),2*x**4/3 - 2*x**2 + 1
692,sin(0.25*sqrt(x**2 + 1)*exp(x)),0.0148021181525134*x**4 + 0.143499446733495*x**3 + 0.234496731700957*x**2 + 0.242228105427661*x + 0.247403959254523
693,log(4*x**2 + 5),-8*x**4/25 + 4*x**2/5 + log(5)
694,-3*exp(x) - 0.5*log(x + 1),-0.666666666666667*x**3 - 1.25*x**2 - 3.5*x - 3
695,3*sqrt(x**2 + 1)*log(x + 1),x*(-3*x**3 + 5*x**2 - 3*x + 6)/2
696,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
697,0.5*sqrt(x**2 + 1)*sin(x),x*(0.166666666666667*x**2 + 0.5)
698,exp(-0.5*x**2),0.125*x**4 - 0.5*x**2 + 1
699,cos(0.25*exp(x)*log(x + 1)),-0.0284830729166667*x**4 - 0.03125*x**3 - 0.03125*x**2 + 1
700,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
701,-1.0*x**2*exp(x),x**2*(-0.5*x**2 - 1.0*x - 1.0)
